node_or_edge	SUID	label	name	class	nodesize	Degree	source	target	interaction	evidence	uri
node	504	123631	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/123631	pubchem_compound	1.0	2					
node	503	2118	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/2118	pubchem_compound	1.0	3					
node	502	5755	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/5755	pubchem_compound	1.0	4					
node	501	5284373	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/5284373	pubchem_compound	1.0	2					
node	500	4192	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/4192	pubchem_compound	1.0	2					
node	499	GO:0008281	http://bio2rdf.org/GO/GO:0008281	GO	1.0	2					
node	498	STX1A	http://chem2bio2rdf.org/uniprot/resource/gene/STX1A	gene	1.0	2					
node	497	16072099	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/16072099	pubchem_compound	1.0	3					
node	496	42626024	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/42626024	pubchem_compound	1.0	4					
node	495	44346781(13)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44346781	pubchem_compound	3.0	2					
node	494	104865	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/104865	pubchem_compound	1.0	4					
node	493	54687	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/54687	pubchem_compound	1.0	3					
node	492	Benzenesulfonamides(1)	http://chem2bio2rdf.org/drugbank/resource/substructure/Benzenesulfonamides	substructure	3.0	2					
node	491	441074	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/441074	pubchem_compound	1.0	2					
node	490	221493	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/221493	pubchem_compound	1.0	3					
node	489	CHEBI:33424(13)	http://chem2bio2rdf.org/chebi/resource/chebi/CHEBI:33424	chebi	3.0	2					
node	488	GO:0004882	http://bio2rdf.org/GO/GO:0004882	GO	1.0	2					
node	487	92877	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/92877	pubchem_compound	1.0	2					
node	486	5382	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/5382	pubchem_compound	1.0	3					
node	485	6128	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/6128	pubchem_compound	1.0	7					
node	484	NR4A1	http://chem2bio2rdf.org/uniprot/resource/gene/NR4A1	gene	1.0	2					
node	483	5917	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/5917	pubchem_compound	1.0	2					
node	482	hsa05010	http://chem2bio2rdf.org/kegg/resource/kegg_pathway/hsa05010	kegg_pathway	1.0	2					
node	481	APP	http://chem2bio2rdf.org/uniprot/resource/gene/APP	gene	5.0	3					
node	480	BACE1	http://chem2bio2rdf.org/uniprot/resource/gene/BACE1	gene	1.0	2					
node	479	44435379(32)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44435379	pubchem_compound	3.0	2					
node	478	457676	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/457676	pubchem_compound	1.0	3					
node	477	10374978	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10374978	pubchem_compound	1.0	3					
node	476	1374(8)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/1374	pubchem_compound	3.0	2					
node	475	451991(1)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/451991	pubchem_compound	3.0	2					
node	474	PTGS2	http://chem2bio2rdf.org/uniprot/resource/gene/PTGS2	gene	5.0	4					
node	473	15221166	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15221166	pubchem_compound	1.0	6					
node	472	92381	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/92381	pubchem_compound	1.0	6					
node	471	hsa00500	http://chem2bio2rdf.org/kegg/resource/kegg_pathway/hsa00500	kegg_pathway	1.0	8					
node	470	hsa00052	http://chem2bio2rdf.org/kegg/resource/kegg_pathway/hsa00052	kegg_pathway	1.0	2					
node	469	51634	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/51634	pubchem_compound	1.0	8					
node	468	441314	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/441314	pubchem_compound	5.0	8					
node	467	10039088	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10039088	pubchem_compound	1.0	6					
node	466	441184	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/441184	pubchem_compound	1.0	6					
node	465	501391	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/501391	pubchem_compound	1.0	8					
node	464	GO:0005975	http://bio2rdf.org/GO/GO:0005975	GO	1.0	2					
node	463	MGAM	http://chem2bio2rdf.org/uniprot/resource/gene/MGAM	gene	1.0	33					
node	462	44320078(2)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44320078	pubchem_compound	3.0	2					
node	461	444020	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/444020	pubchem_compound	1.0	8					
node	460	GAA	http://chem2bio2rdf.org/uniprot/resource/gene/GAA	gene	1.0	34					
node	459	15389575	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15389575	pubchem_compound	1.0	6					
node	458	SI	http://chem2bio2rdf.org/uniprot/resource/gene/SI	gene	5.0	33					
node	457	GO:0004558(1)	http://bio2rdf.org/GO/GO:0004558	GO	3.0	2					
node	456	Glycerol_and_Derivatives	http://chem2bio2rdf.org/drugbank/resource/substructure/Glycerol_and_Derivatives	substructure	1.0	4					
node	455	176077	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/176077	pubchem_compound	1.0	8					
node	454	AGL	http://chem2bio2rdf.org/uniprot/resource/gene/AGL	gene	1.0	20					
node	453	29435	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/29435	pubchem_compound	1.0	8					
node	452	9822159	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9822159	pubchem_compound	1.0	8					
node	451	44265781(30)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44265781	pubchem_compound	3.0	4					
node	450	44820249	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44820249	pubchem_compound	1.0	8					
node	449	387316(4)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/387316	pubchem_compound	3.0	2					
node	448	GO:0035173	http://bio2rdf.org/GO/GO:0035173	GO	1.0	2					
node	447	CHEBI:33261	http://chem2bio2rdf.org/chebi/resource/chebi/CHEBI:33261	chebi	1.0	2					
node	446	NR4A3(1)	http://chem2bio2rdf.org/uniprot/resource/gene/NR4A3	gene	3.0	2					
node	445	3883	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3883	pubchem_compound	1.0	4					
node	444	51263	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/51263	pubchem_compound	1.0	3					
node	443	25240031	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/25240031	pubchem_compound	1.0	2					
node	442	64928	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/64928	pubchem_compound	1.0	3					
node	441	hsa00591	http://chem2bio2rdf.org/kegg/resource/kegg_pathway/hsa00591	kegg_pathway	1.0	6					
node	440	46198325(5)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/46198325	pubchem_compound	3.0	2					
node	439	3339	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3339	pubchem_compound	1.0	2					
node	438	GO:0055088	http://bio2rdf.org/GO/GO:0055088	GO	1.0	2					
node	437	HPGD	http://chem2bio2rdf.org/uniprot/resource/gene/HPGD	gene	1.0	2					
node	436	985(1)	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/985	pubchem_compound	3.0	4					
node	435	45263405	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/45263405	pubchem_compound	1.0	3					
node	434	44425701	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44425701	pubchem_compound	1.0	3					
node	433	22239024	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/22239024	pubchem_compound	1.0	3					
node	432	11172276	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/11172276	pubchem_compound	1.0	3					
node	431	GO:0032787	http://bio2rdf.org/GO/GO:0032787	GO	1.0	2					
node	430	44341260	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44341260	pubchem_compound	1.0	3					
node	429	11458616	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/11458616	pubchem_compound	1.0	3					
node	428	11817019	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/11817019	pubchem_compound	1.0	3					
node	427	44341428	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44341428	pubchem_compound	1.0	3					
node	426	11321889	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/11321889	pubchem_compound	1.0	3					
node	425	11322177	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/11322177	pubchem_compound	1.0	3					
node	424	443389	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/443389	pubchem_compound	1.0	3					
node	423	44341234	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44341234	pubchem_compound	1.0	3					
node	422	23657438	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/23657438	pubchem_compound	1.0	3					
node	421	11148656	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/11148656	pubchem_compound	1.0	3					
node	420	11582291	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/11582291	pubchem_compound	1.0	3					
node	419	11322127	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/11322127	pubchem_compound	1.0	3					
