"SUID","EdgeBetweenness","evidence","interaction","label","name","selected","shared interaction","shared name","uri","weight"
"505","500.70268735","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:KCNJ11","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","1.86956253423E-6"
"506","500.70268735","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:KCNJ11","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","8.23490218316E-6"
"507","327.29731265","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:ABCC9","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","2.27719326018E-6"
"508","500.70268735","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:KCNJ11","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","8.23490218316E-6"
"509","500.70268735","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:KCNJ11","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","1.86956253423E-6"
"510","327.29731265","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/15146830:ABCC9","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830 (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","9.90570707315E-6"
"511","500.70268735","","-","hprd","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/hprd","0.00622479102278"
"512","500.70268735","","-","hprd","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/hprd","0.0125474178384"
"513","327.29731265","","-","hprd","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","false","-","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","http://chem2bio2rdf.org/hprd","0.0068390097081"
"514","500.70268735","","-","hprd","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/hprd","0.0125474178384"
"515","500.70268735","","-","hprd","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/hprd","0.00622479102278"
"516","327.29731265","","-","hprd","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","false","-","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","http://chem2bio2rdf.org/hprd","0.013677594308"
"517","241.12839371","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ11","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","2.93794628359E-6"
"518","146.9715533","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ8","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ8","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ8","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","6.70924425605E-6"
"519","241.12839371","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ11","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","1.25733189379E-5"
"520","171.69417725","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:ABCC9","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/ABCC9","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","2.41714172666E-6"
"521","146.9715533","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ8","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ8","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ8","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","1.07732838176E-5"
"522","241.12839371","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ11","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","1.25733189379E-5"
"523","241.12839371","http://cheminfov.informatics.indiana.edu/rest/Chem2Bio2RDF/cid_gene/10810351:KCNJ11","-","chemogenomics","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","false","-","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351 (-) http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","http://chem2bio2rdf.org/chemogenomics/resource/chemogenomics","2.93794628359E-6"
