"SUID","AverageShortestPathLength","BetweennessCentrality","childnodes","class","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","label","name","NeighborhoodConnectivity","nodesize","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","startnode","Stress","TopologicalCoefficient"
"62","3.81642512","0.0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9904387	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10021137	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15728624	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15728622	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15728623	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/43345	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10500969	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3050782	http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/195544","pubchem_compound","0.26202532","1.0","12","6","false","15146830(9)","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830","99.5","3.0","0","12","2","0.59765355","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/15146830","no","0.0","0.90454545"
"63","3.81642512","0.0","","gene","0.26202532","1.0","12","6","false","LDHA","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA","99.5","1.0","0","12","2","0.59765355","false","0","http://chem2bio2rdf.org/uniprot/resource/gene/LDHA","no","0.0","0.90454545"
"64","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10810351","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10810351","no","68.0","0.84210526"
"65","2.89855072","0.05062546","","pubchem_compound","0.345","0.03571429","44","5","false","65981","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/65981","38.25","1.0","0","44","6","0.72877847","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/65981","no","496658.0","0.20949721"
"66","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","4397986","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/4397986","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/4397986","no","68.0","0.84210526"
"67","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","5240098","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/5240098","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/5240098","no","68.0","0.84210526"
"68","3.48309179","0.00235979","","gene","0.28710125","0.0","33","6","false","KCND3","http://chem2bio2rdf.org/uniprot/resource/gene/KCND3","9.2","1.0","0","33","4","0.6452726","false","0","http://chem2bio2rdf.org/uniprot/resource/gene/KCND3","no","16554.0","0.328"
"69","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10620857","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10620857","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10620857","no","68.0","0.84210526"
"70","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10500343","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10500343","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10500343","no","68.0","0.84210526"
"71","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","44361253","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44361253","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44361253","no","68.0","0.84210526"
"72","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10045948","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10045948","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10045948","no","68.0","0.84210526"
"73","2.7826087","0.05629496","","pubchem_compound","0.359375","0.05454545","89","5","false","3478","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3478","38.81818182","1.0","0","89","11","0.74534161","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3478","no","543570.0","0.18580931"
"74","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","9862760","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9862760","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9862760","no","68.0","0.84210526"
"75","2.84057971","0.13073832","","gene","0.35204082","0.05047564","796","5","false","KCNJ11","http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","6.87254902","1.0","0","796","102","0.73706004","false","0","http://chem2bio2rdf.org/uniprot/resource/gene/KCNJ11","no","1170566.0","0.05002147"
"76","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","44361142","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44361142","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44361142","no","68.0","0.84210526"
"77","2.80193237","0.02232547","","pubchem_compound","0.35689655","0.0","56","5","false","3476","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3476","25.33333333","1.0","0","56","9","0.74258109","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3476","no","214260.0","0.12351946"
"78","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10644163","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10644163","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10644163","no","68.0","0.84210526"
"79","3.8236715","0.0","","pubchem_compound","0.26152874","1.0","12","6","false","3033825","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3033825","98.5","1.0","0","12","2","0.59661836","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3033825","no","0.0","0.92056075"
"80","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10431921","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10431921","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10431921","no","68.0","0.84210526"
"81","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10522137","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10522137","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10522137","no","68.0","0.84210526"
"82","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","9947948","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9947948","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9947948","no","68.0","0.84210526"
"83","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10760503","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10760503","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10760503","no","68.0","0.84210526"
"84","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10738538","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10738538","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10738538","no","68.0","0.84210526"
"85","2.51449275","0.1869528","","pubchem_compound","0.39769452","0.01811594","146","5","false","3488","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3488","26.79166667","5.0","0","146","22","0.78364389","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/3488","yes","1752712.0","0.10552168"
"86","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10022595","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10022595","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10022595","no","68.0","0.84210526"
"87","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","44293670","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44293670","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/44293670","no","68.0","0.84210526"
"88","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","21183546","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/21183546","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/21183546","no","68.0","0.84210526"
"89","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10834988","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10834988","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10834988","no","68.0","0.84210526"
"90","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10690586","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10690586","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10690586","no","68.0","0.84210526"
"91","3.19806763","0.00281637","http://chem2bio2rdf.org/sider/resource/sider/C0162566","sider","0.31268882","0.0","28","5","false","C0032708(1)","http://chem2bio2rdf.org/sider/resource/sider/C0032708","11.6","3.0","0","28","3","0.68599034","false","0","http://chem2bio2rdf.org/sider/resource/sider/C0032708","no","65526.0","0.33125"
"92","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10787333","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10787333","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10787333","no","68.0","0.84210526"
"93","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10341099","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10341099","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10341099","no","68.0","0.84210526"
"94","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","9930941","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9930941","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9930941","no","68.0","0.84210526"
"95","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10667926","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10667926","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10667926","no","68.0","0.84210526"
"96","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10667925","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10667925","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10667925","no","68.0","0.84210526"
"97","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10501033","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10501033","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10501033","no","68.0","0.84210526"
"98","3.24637681","0.01861836","","omim_disease","0.30803571","0.0","29","5","false","427","http://chem2bio2rdf.org/omim/resource/omim_disease/427","11.33333333","1.0","0","29","6","0.67908903","false","0","http://chem2bio2rdf.org/omim/resource/omim_disease/427","no","171292.0","0.25203252"
"99","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10621914","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10621914","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10621914","no","68.0","0.84210526"
"100","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10456839","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10456839","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10456839","no","68.0","0.84210526"
"101","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10737609","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10737609","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10737609","no","68.0","0.84210526"
"102","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10249251","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10249251","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10249251","no","68.0","0.84210526"
"103","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","9948658","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9948658","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9948658","no","68.0","0.84210526"
"104","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10318275","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10318275","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10318275","no","68.0","0.84210526"
"105","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10455786","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10455786","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10455786","no","68.0","0.84210526"
"106","3.49275362","1.1738E-4","","sider","0.28630705","0.0","18","6","false","C0162566","http://chem2bio2rdf.org/sider/resource/sider/C0162566","14.66666667","1.0","0","18","3","0.64389234","false","0","http://chem2bio2rdf.org/sider/resource/sider/C0162566","no","754.0","0.54666667"
"107","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10572530","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10572530","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10572530","no","68.0","0.84210526"
"108","3.7705314","2.9954E-4","","pubchem_compound","0.26521461","0.5","32","6","false","71191","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/71191","78.4","1.0","0","32","5","0.6042098","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/71191","no","1102.0","0.68596491"
"109","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10620412","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10620412","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10620412","no","68.0","0.84210526"
"110","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","9799336","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9799336","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9799336","no","68.0","0.84210526"
"111","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","9950829","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9950829","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9950829","no","68.0","0.84210526"
"112","3.81642512","2.116E-4","","GO","0.26202532","0.33333333","19","6","false","GO:0015272","http://bio2rdf.org/GO/GO:0015272","68.0","1.0","0","19","3","0.59765355","false","0","http://bio2rdf.org/GO/GO:0015272","no","1086.0","0.62654321"
"113","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","9864804","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9864804","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9864804","no","68.0","0.84210526"
"114","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10667106","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10667106","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10667106","no","68.0","0.84210526"
"115","2.99516908","0.02737296","","pubchem_compound","0.33387097","0.3","36","5","false","4826","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/4826","71.8","1.0","0","36","5","0.71497585","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/4826","no","333468.0","0.43012048"
"116","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10643113","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10643113","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10643113","no","68.0","0.84210526"
"117","3.51207729","0.00451906","","pubchem_compound","0.28473177","0.1","36","6","false","60026","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/60026","43.4","1.0","0","36","5","0.64113182","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/60026","no","41730.0","0.38214286"
"118","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10546096","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10546096","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10546096","no","68.0","0.84210526"
"119","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10834192","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10834192","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10834192","no","68.0","0.84210526"
"120","3.7705314","3.3902E-4","","pubchem_compound","0.26521461","0.5","36","6","false","9797402","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9797402","77.8","1.0","0","36","5","0.6042098","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/9797402","no","1088.0","0.68070175"
"121","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10547789","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10547789","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10547789","no","68.0","0.84210526"
"122","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10692234","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10692234","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10692234","no","68.0","0.84210526"
"123","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10321411","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10321411","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10321411","no","68.0","0.84210526"
"124","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10451456","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10451456","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10451456","no","68.0","0.84210526"
"125","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10621403","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10621403","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10621403","no","68.0","0.84210526"
"126","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10761999","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10761999","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10761999","no","68.0","0.84210526"
"127","3.77536232","1.55E-6","","pubchem_compound","0.26487524","0.83333333","28","6","false","10365187","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10365187","96.0","1.0","0","28","4","0.60351967","false","0","http://chem2bio2rdf.org/pubchem/resource/pubchem_compound/10365187","no","68.0","0.84210526"
