SMILES	name	PUBCHEM_COMPOUND_CID	PUBCHEM_COMPOUND_CANONICALIZED	PUBCHEM_CACTVS_COMPLEXITY	PUBCHEM_CACTVS_HBOND_ACCEPTOR	PUBCHEM_CACTVS_HBOND_DONOR	PUBCHEM_CACTVS_ROTATABLE_BOND	PUBCHEM_CACTVS_SUBSKEYS	PUBCHEM_IUPAC_OPENEYE_NAME	PUBCHEM_IUPAC_CAS_NAME	PUBCHEM_IUPAC_NAME	PUBCHEM_IUPAC_SYSTEMATIC_NAME	PUBCHEM_IUPAC_TRADITIONAL_NAME	PUBCHEM_IUPAC_INCHI	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_XLOGP3	PUBCHEM_EXACT_MASS	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT	PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_OPENEYE_ISO_SMILES	PUBCHEM_CACTVS_TPSA	PUBCHEM_MONOISOTOPIC_WEIGHT	PUBCHEM_TOTAL_CHARGE	PUBCHEM_HEAVY_ATOM_COUNT	PUBCHEM_ATOM_DEF_STEREO_COUNT	PUBCHEM_ATOM_UDEF_STEREO_COUNT	PUBCHEM_BOND_DEF_STEREO_COUNT	PUBCHEM_BOND_UDEF_STEREO_COUNT	PUBCHEM_ISOTOPIC_ATOM_COUNT	PUBCHEM_COMPONENT_COUNT	PUBCHEM_CACTVS_TAUTO_COUNT	PUBCHEM_COORDINATE_TYPE	PUBCHEM_BONDANNOTATIONS
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	985	985	1	178	2	1	14	AAADcfB4MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACACAgAACCAAAAgAIAACQCAAAAAAAAAAAAAEAAAAAABIAAAAAQAAEAAAAAAGIyKCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	"palmitic acid"	"hexadecanoic acid"	"hexadecanoic acid"	"hexadecanoic acid"	"palmitic acid"	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	IPCSVZSSVZVIGE-UHFFFAOYSA-N	6.4	256.24	C16H32O2	256.43	CCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCC(=O)O	37.3	256.24	0	18	0	1	0	0	0	1	-1	"1\n5\n255"	"14  41  3"
[H]C1=NC([H])=C([H])C([H])=C1[H]	1049	1049	1	30.9	1	0	0	AAADcYBiAAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHAAAAAAACADBEgQ8gJIIEACgADBnRACCgCAxAiAI2CA4ZJgIIOLAkZGEIAhggADIyAYQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	pyridine	pyridine	pyridine	pyridine	pyridine	InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H	JUJWROOIHBZHMG-UHFFFAOYSA-N	0.7	79.042	C5H5N	79.102	C1=CC=NC=C1	C1=CC=NC=C1	12.9	79.042	0	6	0	0	0	0	0	1	-1	"1\n5\n255"	"1  5  8\n1  6  8\n2  3  8\n2  4  8\n3  5  8\n4  6  8"
[H]OC([H])([H])C1([H])N([H])C([H])([H])C([H])(O[H])C([H])(O[H])C1([H])O[H]	1374	1374	1	132	5	5	1	AAADccBiOAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAAAAAAAHgAQCAAACDzhgAYAAALAAgAAAAAAAAAAAAAAAAAAAIAIAAADEAIAgAAEQAAHEACRAAHwYAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	2-(hydroxymethyl)piperidine-3,4,5-triol	2-(hydroxymethyl)piperidine-3,4,5-triol	2-(hydroxymethyl)piperidine-3,4,5-triol	2-(hydroxymethyl)piperidine-3,4,5-triol	2-methylolpiperidine-3,4,5-triol	InChI=1S/C6H13NO4/c8-2-3-5(10)6(11)4(9)1-7-3/h3-11H,1-2H2	LXBIFEVIBLOUGU-UHFFFAOYSA-N		163.084	C6H13NO4	163.173	C1C(C(C(C(N1)CO)O)O)O	C1C(C(C(C(N1)CO)O)O)O	93	163.084	0	11	0	4	0	0	0	1	-1	"1\n5\n255"	"6  12  3\n7  13  3\n8  14  3\n9  15  3"	-2.3
[H]N1C(=O)N([H])C(C1=O)(C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1775	1775	1	350	2	2	2	AAADccBzMAAAAAAAAAAAAAAAAAAAAWAAAAAwYAAAAAAAAAABQAAAHgAQAAAADIiBmAAxAILAAACIAiFSEACCAAAgAAAIiAGABIiIYDKAlTGUIAhohSIIiAcYiMCOgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	5,5-diphenylimidazolidine-2,4-dione	5,5-diphenylimidazolidine-2,4-dione	5,5-diphenylimidazolidine-2,4-dione	5,5-diphenylimidazolidine-2,4-dione	5,5-diphenylhydantoin	InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)	CXOFVDLJLONNDW-UHFFFAOYSA-N	2.5	252.09	C15H12N2O2	252.273	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3	58.2	252.09	0	19	0	0	0	0	0	1	-1	"1\n5\n255"	"10  14  8\n11  15  8\n12  16  8\n13  17  8\n14  19  8\n15  18  8\n16  19  8\n17  18  8\n6  10  8\n6  12  8\n7  11  8\n7  13  8"	
[H]C1=C([H])C([H])=C(C([H])=C1[H])C1=NC([H])([H])C2=NN=C(N2C2=C1C([H])=C(Cl)C([H])=C2[H])C([H])([H])[H]	2118	2118	1	434	3	0	1	AAADccB7gAAEAAAAAAAAAAAAAAAAAWAAAAAwYAAABAAAAACB0AAAHAIIAAAADArBGyQz0IcMEACiAyZiZACSgCshB6AdiAAwZpiIaKLBm5GUIAhgiALIyCcQgMAOAABAIAACAAAAAIBAAAQAAAAAAAAAAA==	8-chloro-1-methyl-6-phenyl-4~{H}-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine	8-chloro-1-methyl-6-phenyl-4~{H}-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine	8-chloro-1-methyl-6-phenyl-4~{H}-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine	8-chloranyl-1-methyl-6-phenyl-4~{H}-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine	8-chloro-1-methyl-6-phenyl-4~{H}-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine	InChI=1S/C17H13ClN4/c1-11-20-21-16-10-19-17(12-5-3-2-4-6-12)14-9-13(18)7-8-15(14)22(11)16/h2-9H,10H2,1H3	VREFGVBLTWBCJP-UHFFFAOYSA-N	2.1	308.083	C17H13ClN4	308.769	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4	43.1	308.083	0	22	0	0	0	0	0	1	-1	"1\n5\n255"	"12  15  8\n13  16  8\n14  18  8\n14  19  8\n15  16  8\n18  20  8\n19  21  8\n2  11  8\n2  8  8\n20  22  8\n21  22  8\n4  5  8\n4  8  8\n5  11  8\n6  12  8\n6  7  8\n7  13  8"	
[H]OC1=C(C([H])=C(N([H])C2=C3C([H])=C([H])C(Cl)=C([H])C3=NC([H])=C2[H])C([H])=C1[H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]	2165	2165	1	406	4	2	6	AAADceB7IAAEAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAACx9AAAHgIQCAAADA7BniQ+xvPIEgCgAzRnRACCgCAxJyAI2CA+bpgIJuLD09OEdAhm0BHI2AewwKAOBEAAQAIKAAAIgACABBQAAAAAAAAAAA==	4-[(7-chloro-4-quinolyl)amino]-2-(diethylaminomethyl)phenol	4-[(7-chloro-4-quinolinyl)amino]-2-(diethylaminomethyl)phenol	4-[(7-chloroquinolin-4-yl)amino]-2-(diethylaminomethyl)phenol	4-[(7-chloranylquinolin-4-yl)amino]-2-(diethylaminomethyl)phenol	4-[(7-chloro-4-quinolyl)amino]-2-(diethylaminomethyl)phenol	InChI=1S/C20H22ClN3O/c1-3-24(4-2)13-14-11-16(6-8-20(14)25)23-18-9-10-22-19-12-15(21)5-7-17(18)19/h5-12,25H,3-4,13H2,1-2H3,(H,22,23)	OVCDSSHSILBFBN-UHFFFAOYSA-N	2.6	355.145	C20H22ClN3O	355.866	CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O	CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O	48.4	355.145	0	25	0	0	0	0	0	1	-1	"1\n5\n255"	"10  11  8\n11  15  8\n12  17  8\n15  17  8\n16  18  8\n16  20  8\n18  19  8\n18  21  8\n19  22  8\n20  23  8\n21  24  8\n22  25  8\n24  25  8\n5  19  8\n5  23  8\n7  10  8\n7  12  8"	
[H]OC1=C(C([H])=C([H])C(N([H])C2=C3C([H])=C([H])C(Cl)=C([H])C3=NC([H])=C2[H])=C1[H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]	2166	2166	1	406	4	2	6	AAADceB7IAAEAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAACx9AAAHgIQCAAADA7BniQ+xvPIEgCgAzRnRACCgCAxJyAI2CA+bpgIJuLD09OEdAhm0BnI2AeQ0KMODAAAAgIKAAAYAAAEBBQAAAAAAAAAAA==	5-[(7-chloro-4-quinolyl)amino]-2-(diethylaminomethyl)phenol	5-[(7-chloro-4-quinolinyl)amino]-2-(diethylaminomethyl)phenol	5-[(7-chloroquinolin-4-yl)amino]-2-(diethylaminomethyl)phenol	5-[(7-chloranylquinolin-4-yl)amino]-2-(diethylaminomethyl)phenol	5-[(7-chloro-4-quinolyl)amino]-2-(diethylaminomethyl)phenol	InChI=1S/C20H22ClN3O/c1-3-24(4-2)13-14-5-7-16(12-20(14)25)23-18-9-10-22-19-11-15(21)6-8-17(18)19/h5-12,25H,3-4,13H2,1-2H3,(H,22,23)	QGFYFOHMBDMGBZ-UHFFFAOYSA-N	2.6	355.145	C20H22ClN3O	355.866	CCN(CC)CC1=C(C=C(C=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O	CCN(CC)CC1=C(C=C(C=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O	48.4	355.145	0	25	0	0	0	0	0	1	17	"1\n5\n255"	"10  13  8\n11  16  8\n12  13  8\n12  16  8\n17  18  8\n17  20  8\n18  19  8\n18  21  8\n19  22  8\n20  23  8\n21  24  8\n22  25  8\n24  25  8\n5  19  8\n5  23  8\n7  10  8\n7  11  8"	
[H]OC(=O)C1=C([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C(OC2=C([H])C([H])=C([H])C([H])=C2[H])C(=C1[H])S(=O)(=O)N([H])[H]	2471	2471	1	528	7	3	8	AAADceB7OABAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAHgQQSAAADAzB2AQyz4LABgKIAiTSSHDCCBAlIgAIiJsPbMgOJjLEtZuHeSzk0BHY+Ye87CzOIAAAwCAAMABAAAGAQABgAAAAAAAAAA==	"3-(butylamino)-4-phenoxy-5-sulfamoyl-benzoic acid"	"3-(butylamino)-4-phenoxy-5-sulfamoylbenzoic acid"	"3-(butylamino)-4-phenoxy-5-sulfamoylbenzoic acid"	"3-(butylamino)-4-phenoxy-5-sulfamoyl-benzoic acid"	"3-(butylamino)-4-phenoxy-5-sulfamoyl-benzoic acid"	InChI=1S/C17H20N2O5S/c1-2-3-9-19-14-10-12(17(20)21)11-15(25(18,22)23)16(14)24-13-7-5-4-6-8-13/h4-8,10-11,19H,2-3,9H2,1H3,(H,20,21)(H2,18,22,23)	MAEIEVLCKWDQJH-UHFFFAOYSA-N		364.109	C17H20N2O5S	364.416	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2	127	364.109	0	25	0	0	0	0	0	1	-1	"1\n5\n255"	"11  12  8\n11  15  8\n12  13  8\n13  17  8\n15  16  8\n16  17  8\n19  21  8\n19  22  8\n21  23  8\n22  24  8\n23  25  8\n24  25  8"	2.8
[H]C1=C([H])C(=C([H])C(OC([H])([H])[H])=C1OC([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(C#N)(C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H]	2520	2520	1	606	6	0	13	AAADcfB7OAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAHgAAAAAADwTBmAYyBoMABACQBiBCAAACCAAgIAAIiAAOiIgNpiKEsRuEMCIkwBGKqA+Q0PIPoAABAAAAQABAAAIAAACAAAAAAAAAAA==	2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methyl-amino]-2-isopropyl-pentanenitrile	2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile	2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile	2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methyl-amino]-2-propan-2-yl-pentanenitrile	2-(3,4-dimethoxyphenyl)-5-[homoveratryl(methyl)amino]-2-isopropyl-valeronitrile	InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3	SGTNSNPWRIOYBX-UHFFFAOYSA-N	3.8	454.283	C27H38N2O4	454.611	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC	64	454.283	0	33	0	1	0	0	0	1	-1	"1\n5\n255"	"11  16  8\n11  17  8\n16  19  8\n17  21  8\n19  23  8\n21  23  8\n24  25  8\n24  26  8\n25  27  8\n26  29  8\n27  30  8\n29  30  8\n7  15  3"	
[H]N([H])C(=O)N1C2=C([H])C([H])=C([H])C([H])=C2C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12	2554	2554	1	326	1	1	0	AAADccBzIAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAABAAAAAABQAAAHgAQAAAADAiBGAAxwINAAACIAiRCUACCAAAhAgAIiAAAZIiIIGLAkZGEIAhghALIyCcQgAAOAAAAAAACAAAAAAAAAAQAAAAAAAAAAA==	benzo[b][1]benzazepine-11-carboxamide	11-benzo[b][1]benzazepinecarboxamide	benzo[b][1]benzazepine-11-carboxamide	benzo[b][1]benzazepine-11-carboxamide	benzo[b][1]benzazepine-11-carboxamide	InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)	FFGPTBGBLSHEPO-UHFFFAOYSA-N	2.5	236.095	C15H12N2O	236.274	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	46.3	236.095	0	18	0	0	0	0	0	1	2	"1\n5\n255"	"10  16  8\n11  15  8\n12  18  8\n13  17  8\n15  17  8\n16  18  8\n4  10  8\n4  6  8\n5  11  8\n5  7  8\n6  12  8\n7  13  8"	
[H]N(C#N)C(=N/C([H])([H])[H])\N([H])C([H])([H])C([H])([H])SC([H])([H])C1=C(N([H])C([H])=N1)C([H])([H])[H]	2756	2756	1	296	4	3	7	AAADceBzgABAAAAAAAAAAAAAAAAAAWAAAAAAAAAAAAAAAAABgAAAHAQQAAAACAjFVgSHkBbJkAiwAQRhZAAAgC2RELABWYA4UACASABgCAAUAAAIEAJgACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	1-cyano-2-methyl-3-[2-[(5-methyl-1~{H}-imidazol-4-yl)methylsulfanyl]ethyl]guanidine	1-cyano-2-methyl-3-[2-[(5-methyl-1~{H}-imidazol-4-yl)methylthio]ethyl]guanidine	1-cyano-2-methyl-3-[2-[(5-methyl-1~{H}-imidazol-4-yl)methylsulfanyl]ethyl]guanidine	1-cyano-2-methyl-3-[2-[(5-methyl-1~{H}-imidazol-4-yl)methylsulfanyl]ethyl]guanidine	1-cyano-2-methyl-3-[2-[(5-methyl-1~{H}-imidazol-4-yl)methylthio]ethyl]guanidine	InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)	AQIXAKUUQRKLND-UHFFFAOYSA-N	0.4	252.116	C10H16N6S	252.34	CC1=C(N=CN1)CSCCNC(=NC)NC#N	CC1=C(N=CN1)CSCCNC(=NC)NC#N	114	252.116	0	17	0	0	0	0	0	1	-1	"1\n5\n255"	"2  12  8\n2  14  8\n4  14  8\n4  8  8\n8  12  8"	
[H]C1=C([H])N(C([H])=N1)C(C1=C([H])C([H])=C([H])C([H])=C1[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1Cl	2812	2812	1	396	1	0	4	AAADceB7AAAEAAAAAAAAAAAAAAAAAWAAAAAwYMAAAAAAAAAB1AAAHAIAAAAADIrBGiQ9kJcMEACgAjBnZACCgC0xF6AJyAAYNoiIaCKBmxGUIAhogAKIiCcQgMAOgAAAAAABAAAAAAAAAAIAAAAAAAAAAA==	1-[(2-chlorophenyl)-diphenyl-methyl]imidazole	1-[(2-chlorophenyl)-diphenylmethyl]imidazole	1-[(2-chlorophenyl)-diphenylmethyl]imidazole	1-[(2-chlorophenyl)-diphenyl-methyl]imidazole	1-[(2-chlorophenyl)-diphenyl-methyl]imidazole	InChI=1S/C22H17ClN2/c23-21-14-8-7-13-20(21)22(25-16-15-24-17-25,18-9-3-1-4-10-18)19-11-5-2-6-12-19/h1-17H	VNFPBHJOKIVQEB-UHFFFAOYSA-N	5	344.108	C22H17ClN2	344.842	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4	17.8	344.108	0	25	0	0	0	0	0	1	1	"1\n5\n255"	"10  20  8\n11  19  8\n12  21  8\n13  22  8\n14  16  8\n17  23  8\n18  23  8\n19  24  8\n2  14  8\n2  15  8\n20  25  8\n21  25  8\n22  24  8\n3  15  8\n3  16  8\n5  8  8\n5  9  8\n6  10  8\n6  12  8\n7  11  8\n7  13  8\n8  17  8\n9  18  8"	
