CID,TID,score,score_note,score_type,error
1989,"A5X5Y0",,"","","target was not found"
1989,"A8MPY1",,"","","target was not found"
1989,"B1AH88",,"","","target was not found"
1989,"O00141",,"","","no valid path was found"
1989,"O00142",,"","","no valid path was found"
1989,"O00182",,"","","no valid path was found"
1989,"O00206",,"","",""
1989,"O00214",,"","",""
1989,"O00217",,"","","target was not found"
1989,"O00220",,"","",""
1989,"O00221",,"","","no valid path was found"
1989,"O00222",,"","",""
1989,"O00238",,"","",""
1989,"O00254",,"","","no valid path was found"
1989,"O00311",,"","","no valid path was found"
1989,"O00329",,"","","target was not found"
1989,"O00337",,"","","no valid path was found"
1989,"O00341",,"","","no valid path was found"
1989,"O00408",,"","",""
1989,"O00418",,"","","no valid path was found"
1989,"O00443",,"","","no valid path was found"
1989,"O00444",,"","",""
1989,"O00459",,"","",""
1989,"O00462",,"","","no valid path was found"
1989,"O00482",,"","","no valid path was found"
1989,"O00483",,"","","no valid path was found"
1989,"O00506",,"","","no valid path was found"
1989,"O00519",,"","",""
1989,"O00555",,"","",""
1989,"O00571",,"","",""
1989,"O00574",,"","","no valid path was found"
1989,"O00591",,"","",""
1989,"O00746",,"","","no valid path was found"
1989,"O00748",,"","",""
1989,"O00750",,"","","no valid path was found"
1989,"O00754",,"","","no valid path was found"
1989,"O00757",,"","",""
1989,"O00763",,"","","target was not found"
1989,"O00764",,"","",""
1989,"O00767",,"","",""
1989,"O14519",,"","","no valid path was found"
1989,"O14578",,"","",""
1989,"O14638",,"","","no valid path was found"
1989,"O14640",,"","",""
1989,"O14672",,"","","no valid path was found"
1989,"O14684",,"","","target was not found"
1989,"O14730",,"","","no valid path was found"
1989,"O14732",,"","",""
1989,"O14733",,"","",""
1989,"O14746",,"","","no valid path was found"
1989,"O14757",,"","",""
1989,"O14763",,"","",""
1989,"O14764",,"","","no valid path was found"
1989,"O14777",,"","","no valid path was found"
1989,"O14782",,"","","no valid path was found"
1989,"O14786",,"","",""
1989,"O14842",,"","","no valid path was found"
1989,"O14843",,"","","no valid path was found"
1989,"O14920",,"","",""
1989,"O14939",,"","","no valid path was found"
1989,"O14965",,"","",""
1989,"O14974",,"","",""
1989,"O14975",,"","","target was not found"
1989,"O14976",,"","","target was not found"
1989,"O14980",,"","","no valid path was found"
1989,"O14983",,"","",""
1989,"O15066",,"","","no valid path was found"
1989,"O15075",,"","","no valid path was found"
1989,"O15111",,"","","no valid path was found"
1989,"O15120",,"","","no valid path was found"
1989,"O15146",,"","",""
1989,"O15197",,"","","no valid path was found"
1989,"O15217",,"","",""
1989,"O15218",,"","","no valid path was found"
1989,"O15226",,"","","target was not found"
1989,"O15228",,"","","no valid path was found"
1989,"O15229",,"","","target was not found"
1989,"O15245",,"","","target was not found"
1989,"O15264",,"","",""
1989,"O15294",,"","","no valid path was found"
1989,"O15296",,"","","target was not found"
1989,"O15303",,"","",""
1989,"O15379",,"","",""
1989,"O15392",,"","",""
1989,"O15399",,"","",""
1989,"O15438",,"","",""
1989,"O15455",,"","","no valid path was found"
1989,"O15460",,"","","no valid path was found"
1989,"O15496",,"","","no valid path was found"
1989,"O15528",,"","","no valid path was found"
1989,"O15530",,"","",""
1989,"O15547",,"","","no valid path was found"
1989,"O15552",,"","","no valid path was found"
1989,"O15554",,"","","no valid path was found"
1989,"O43172",,"","","target was not found"
1989,"O43174",,"","","no valid path was found"
1989,"O43184",,"","",""
1989,"O43193",,"","","target was not found"
1989,"O43240",,"","","no valid path was found"
1989,"O43246",,"","","no valid path was found"
1989,"O43280",,"","","no valid path was found"
1989,"O43283",,"","","target was not found"
1989,"O43293",,"","","no valid path was found"
1989,"O43306",,"","","no valid path was found"
1989,"O43318",,"","","target was not found"
1989,"O43353",,"","",""
1989,"O43451",,"","",""
1989,"O43497",,"","",""
1989,"O43521",,"","",""
1989,"O43524",,"","","no valid path was found"
1989,"O43525",,"","","no valid path was found"
1989,"O43526",,"","",""
1989,"O43548",,"","","no valid path was found"
1989,"O43561",,"","","no valid path was found"
1989,"O43570",,"","",""
1989,"O43603",,"","","no valid path was found"
1989,"O43613",,"","","no valid path was found"
1989,"O43614",,"","","no valid path was found"
1989,"O43674",,"","","no valid path was found"
1989,"O43708",,"","","no valid path was found"
1989,"O43741",,"","",""
1989,"O43781",,"","","no valid path was found"
1989,"O43868",,"","","no valid path was found"
1989,"O43895",,"","","target was not found"
1989,"O43924",,"","",""
1989,"O60218",,"","","no valid path was found"
1989,"O60237",,"","",""
1989,"O60256",,"","","no valid path was found"
1989,"O60259",,"","","no valid path was found"
1989,"O60266",,"","",""
1989,"O60285",,"","","no valid path was found"
1989,"O60333",,"","",""
1989,"O60341",,"","","no valid path was found"
1989,"O60344",,"","","no valid path was found"
1989,"O60391",,"","",""
1989,"O60427",,"","","target was not found"
1989,"O60502",,"","","no valid path was found"
1989,"O60503",,"","",""
1989,"O60551",,"","","no valid path was found"
1989,"O60563",,"","","no valid path was found"
1989,"O60603",,"","",""
1989,"O60658",,"","","no valid path was found"
1989,"O60674",,"","",""
1989,"O60678",,"","","no valid path was found"
1989,"O60704",,"","","no valid path was found"
1989,"O60706",,"","",""
1989,"O60725",,"","","no valid path was found"
1989,"O60733",,"","","no valid path was found"
1989,"O60755",,"","","no valid path was found"
1989,"O60760",,"","","no valid path was found"
