protein_accession	db_source	name	stringid	sym	geneid	fam
A5X5Y0	SWISS-PROT	Serotonin 3e (5-HT3e) receptor	ENSP00000335511	HTR3E	285242	IC
A8MPY1	SWISS-PROT	GABA receptor rho-3 subunit	ENSP00000471569	GABRR3	200959	IC
B1AH88	SWISS-PROT	Peripheral-type benzodiazepine receptor	ENSP00000328973	TSPO	706	None
O00141	SWISS-PROT	Serine/threonine-protein kinase Sgk1	ENSP00000356832	SGK1	6446	Kinase
O00142	SWISS-PROT	Thymidine kinase, mitochondrial	ENSP00000414334	TK2	7084	Kinase
O00182	SWISS-PROT	Galectin-9	ENSP00000378856	LGALS9	3965	None
O00206	SWISS-PROT	Toll-like receptor 4	ENSP00000363089	TLR4	7099	None
O00214	SWISS-PROT	Galectin-8	ENSP00000309576	LGALS8	3964	None
O00217	SWISS-PROT	NADH-ubiquinone oxidoreductase 23 kDa subunit,	ENSP00000315774	NDUFS8	4728	Enzyme
O00220	SWISS-PROT	TRAIL receptor-1	ENSP00000221132	TNFRSF10A	8797	None
O00221	SWISS-PROT	NF-kappaB inhibitor epsilon	ENSP00000275015	NFKBIE	4794	None
O00222	SWISS-PROT	Metabotropic glutamate receptor 8	ENSP00000344173	GRM8	2918	GPCR
O00238	SWISS-PROT	Bone morphogenetic protein receptor type-1B	ENSP00000264568	BMPR1B	658	Kinase
O00254	SWISS-PROT	Proteinase-activated receptor 3	ENSP00000296641	F2RL2	2151	GPCR
O00311	SWISS-PROT	Cell division cycle 7-related protein kinase	ENSP00000234626	CDC7	8317	Kinase
O00329	SWISS-PROT	PI3-kinase p110-delta subunit	ENSP00000366563	PIK3CD	5293	Kinase
O00337	SWISS-PROT	Sodium/nucleoside cotransporter 1	ENSP00000286749	SLC28A1	9154	Transporter
O00341	SWISS-PROT	Excitatory amino acid transporter 5	ENSP00000360549	SLC1A7	6512	Transporter
O00408	SWISS-PROT	Phosphodiesterase 2A	ENSP00000334910	PDE2A	5138	Enzyme
O00418	SWISS-PROT	Serine/threonine-protein kinase EEF2K	ENSP00000263026	EEF2K	29904	Kinase
O00443	SWISS-PROT	Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit alpha	ENSP00000265970	PIK3C2A	5286	Kinase
O00444	SWISS-PROT	Serine/threonine-protein kinase PLK4	ENSP00000270861	PLK4	10733	Kinase
O00459	SWISS-PROT	PI3-kinase p85-beta subunit	ENSP00000471914	PIK3R2	5296	Enzyme
O00462	SWISS-PROT	Beta-mannosidase	ENSP00000226578	MANBA	4126	Enzyme
O00482	SWISS-PROT	Orphan nuclear receptor LRH-1	ENSP00000356331	NR5A2	2494	NR
O00483	SWISS-PROT	NADH-ubiquinone oxidoreductase MLRQ subunit	ENSP00000339720	NDUFA4	4697	Enzyme
O00506	SWISS-PROT	Serine/threonine-protein kinase 25	ENSP00000325748	STK25	10494	Kinase
O00519	SWISS-PROT	Anandamide amidohydrolase	ENSP00000243167	FAAH	2166	Enzyme
O00555	SWISS-PROT	Voltage-gated P/Q-type calcium channel alpha-1A subunit	ENSP00000353362	CACNA1A	773	IC
O00571	SWISS-PROT	ATP-dependent RNA helicase DDX3X	ENSP00000382840	DDX3X	1654	Enzyme
O00574	SWISS-PROT	C-X-C chemokine receptor type 6	ENSP00000304414	CXCR6	10663	GPCR
O00591	SWISS-PROT	GABA receptor pi subunit	ENSP00000265294	GABRP	2568	IC
O00746	SWISS-PROT	Nucleoside diphosphate kinase 4	ENSP00000219479	NME4	4833	Kinase
O00748	SWISS-PROT	Carboxylesterase 2	ENSP00000317842	CES2	8824	Enzyme
O00750	SWISS-PROT	Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide	ENSP00000356155	PIK3C2B	5287	Kinase
O00754	SWISS-PROT	Lysosomal alpha-mannosidase	ENSP00000395473	MAN2B1	4125	Enzyme
O00757	SWISS-PROT	Fructose-1,6-bisphosphatase 2	ENSP00000364486	FBP2	8789	Enzyme
O00763	SWISS-PROT	Acetyl-CoA carboxylase 2	ENSP00000341044	ACACB	32	Enzyme
O00764	SWISS-PROT	Pyridoxal kinase	ENSP00000291565	PDXK	8566	Kinase
O00767	SWISS-PROT	Acyl-CoA desaturase	ENSP00000359380	SCD	6319	Enzyme
O14519	SWISS-PROT	Cyclin-dependent kinase 2-associated protein 1	ENSP00000261692	CDK2AP1	8099	Enzyme
O14578	SWISS-PROT	Citron Rho-interacting kinase	ENSP00000376306	CIT	11113	Kinase
O14638	SWISS-PROT	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	ENSP00000350265	ENPP3	5169	Enzyme
O14640	SWISS-PROT	Segment polarity protein dishevelled homolog DVL-1	ENSP00000368169	DVL1	1855	None
O14672	SWISS-PROT	ADAM10	ENSP00000260408	ADAM10	102	Enzyme
O14684	SWISS-PROT	Prostaglandin E synthase	ENSP00000342385	PTGES	9536	Enzyme
O14730	SWISS-PROT	Serine/threonine-protein kinase RIO3	ENSP00000341874	RIOK3	8780	Kinase
O14732	SWISS-PROT	Inositol-1(or 4)-monophosphatase 2	ENSP00000269159	IMPA2	3613	Enzyme
O14733	SWISS-PROT	Dual specificity mitogen-activated protein kinase kinase 7	ENSP00000381066	MAP2K7	5609	Kinase
O14746	SWISS-PROT	Telomerase reverse transcriptase	ENSP00000309572	TERT	7015	Enzyme
O14757	SWISS-PROT	Serine/threonine-protein kinase Chk1 	ENSP00000388648	CHEK1	1111	Kinase
O14763	SWISS-PROT	Tumor necrosis factor receptor superfamily member 10B	ENSP00000276431	TNFRSF10B	8795	None
O14764	SWISS-PROT	GABA receptor delta subunit	ENSP00000367848	GABRD	2563	IC
O14777	SWISS-PROT	Kinetochore protein NDC80 homolog	ENSP00000261597	NDC80	10403	None
O14782	SWISS-PROT	Kinesin-like protein KIF3C	ENSP00000264712	KIF3C	3797	None
O14786	SWISS-PROT	Neuropilin-1	ENSP00000265371	NRP1	8829	None
O14842	SWISS-PROT	Free fatty acid receptor 1	ENSP00000246553	FFAR1	2864	GPCR
O14843	SWISS-PROT	Free fatty acid receptor 3	ENSP00000328230	FFAR3	2865	GPCR
O14920	SWISS-PROT	Inhibitor of nuclear factor kappa B kinase beta subunit	ENSP00000430684	IKBKB	3551	Kinase
O14939	SWISS-PROT	Phospholipase D2	ENSP00000263088	PLD2	5338	Enzyme
O14965	SWISS-PROT	Serine/threonine-protein kinase Aurora-A	ENSP00000216911	AURKA	6790	Kinase
O14974	SWISS-PROT	Protein phosphatase 1 regulatory subunit 12A	ENSP00000261207	PPP1R12A	4659	Enzyme
O14975	SWISS-PROT	Fatty acid transport protein 2	ENSP00000267842	SLC27A2	11001	Transporter
O14976	SWISS-PROT	Serine/threonine-protein kinase GAK	ENSP00000314499	GAK	2580	Kinase
O14980	SWISS-PROT	Exportin-1	ENSP00000384863	XPO1	7514	None
O14983	SWISS-PROT	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 	ENSP00000349595	ATP2A1	487	Transporter
O15066	SWISS-PROT	Kinesin-like protein KIF3B	ENSP00000364864	KIF3B	9371	None
O15075	SWISS-PROT	Serine/threonine-protein kinase DCLK1	ENSP00000255448	DCLK1	9201	Kinase
O15111	SWISS-PROT	Inhibitor of nuclear factor kappa B kinase alpha subunit	ENSP00000359424	CHUK	1147	Kinase
O15120	SWISS-PROT	1-acylglycerol-3-phosphate O-acyltransferase beta	ENSP00000360761	AGPAT2	10555	Enzyme
O15146	SWISS-PROT	Muscle, skeletal receptor tyrosine protein kinase	ENSP00000363571	MUSK	4593	Kinase
O15197	SWISS-PROT	Ephrin type-B receptor 6	ENSP00000376684	EPHB6	2051	Kinase
O15217	SWISS-PROT	Glutathione S-transferase A4	ENSP00000359998	GSTA4	2941	Enzyme
O15218	SWISS-PROT	Adrenomedullin receptor	ENSP00000300098	GPR182	11318	GPCR
O15226	SWISS-PROT	NF-kappa-B-repressing factor 	ENSP00000442308	NKRF	55922	None
O15228	SWISS-PROT	Acyl-CoA:dihydroxyacetonephosphateacyltransferase	ENSP00000355607	GNPAT	8443	Enzyme
O15229	SWISS-PROT	Kynurenine 3-monooxygenase	ENSP00000355517	KMO	8564	Enzyme
O15245	SWISS-PROT	Solute carrier family 22 member 1	ENSP00000355930	SLC22A1	6580	Transporter
O15264	SWISS-PROT	MAP kinase p38 delta	ENSP00000211287	MAPK13	5603	Kinase
O15294	SWISS-PROT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	ENSP00000362824	OGT	8473	Enzyme
O15296	SWISS-PROT	Arachidonate 15-lipoxygenase, type II	ENSP00000369530	ALOX15B	247	Enzyme
O15303	SWISS-PROT	Metabotropic glutamate receptor 6	ENSP00000231188	GRM6	2916	GPCR
O15379	SWISS-PROT	Histone deacetylase 3	ENSP00000302967	HDAC3	8841	Epigenetic
O15392	SWISS-PROT	Baculoviral IAP repeat-containing protein 5	ENSP00000301633	BIRC5	332	None
O15399	SWISS-PROT	Glutamate [NMDA] receptor subunit epsilon 4	ENSP00000263269	GRIN2D	2906	IC
