CID,TID,score,score_note,score_type,error
3476,"P35916",0.0151,"weak","approved binding",""
3476,"Q14654",0.0151,"weak","approved binding",""
3478,"O60706",0.0002,"strong","approved binding",""
3478,"P35916",0.0001,"strong","approved binding",""
3478,"Q14654",0.0001,"strong","approved binding",""
3478,"Q15842",0.0002,"strong","approved binding",""
3488,"O15438",0.0152,"weak","approved binding",""
3488,"O60706",7.15227423961e-05,"strong","approved binding",""
3488,"O95342",0.0097,"weak","approved binding",""
3488,"P05423",0.0454,"very weak","approved binding",""
3488,"P07101",0.0376,"very weak","approved expression",""
3488,"P08183",0.0008,"strong","approved binding",""
3488,"P13569",0.0454,"very weak","approved binding",""
3488,"P33261",0.0002,"strong","approved binding",""
3488,"P35916",4.98614554204e-05,"very strong","approved binding",""
3488,"Q01959",0.0396,"very weak","approved expression",""
3488,"Q14654",4.98614554204e-05,"very strong","approved binding",""
3488,"Q15842",8.31092077572e-05,"strong","approved binding",""
4091,"P27487",1.0,"undecided","approved binding",""
4091,"Q9Y478",0.7817,"undecided","approved binding",""
441314,"O43451",0.0009,"strong","approved binding",""
441314,"P14410",0.0007,"strong","approved binding",""
5311309,"P35916",0.0004,"strong","approved binding",""
5311309,"Q14654",0.0004,"strong","approved binding",""
4829,"P05067",0.0118,"weak","approved expression",""
4829,"P05093",0.008,"weak","approved expression",""
4829,"P06732",0.3539,"undecided","approved binding",""
4829,"P08069",8.31930533429e-06,"very strong","approved binding",""
4829,"P10632",0.0023,"strong","approved binding",""
4829,"P15090",0.0428,"very weak","approved expression",""
4829,"P20813",0.002,"strong","approved expression",""
4829,"P20815",0.0036,"strong","approved binding",""
4829,"P24941",0.0016,"strong","approved expression",""
4829,"P30536",0.3539,"undecided","approved binding",""
4829,"P35354",0.0296,"very weak","approved expression",""
4829,"P37231",1.03896583843e-05,"very strong","approved binding",""
4829,"P38936",0.0206,"very weak","approved expression",""
4829,"P47901",0.0092,"weak","approved expression",""
4829,"Q07869",8.31930533429e-06,"very strong","approved binding",""
16132446,"P06213",1.0,"undecided","approved binding",""
65981,"P10632",0.011,"weak","approved binding",""
65981,"P35916",0.0005,"strong","approved binding",""
65981,"Q14654",0.0005,"strong","approved binding",""
77999,"P10632",0.0076,"strong","approved binding",""
77999,"P37231",0.0138,"weak","approved binding",""
4369359,"P27487",0.8929,"undecided","approved binding",""
5505,"P05177",0.0003,"strong","approved binding",""
5505,"P10632",0.0026,"strong","approved binding",""
5505,"P10635",0.0001,"strong","approved binding",""
5991,"O75469",0.0026,"strong","approved binding",""
5991,"P04278",0.0018,"strong","approved binding",""
5991,"P05177",0.0003,"strong","approved binding",""
5991,"P20815",0.0028,"strong","approved binding",""
5991,"Q14994",0.0056,"strong","approved binding",""
5991,"Q92731",8.54604492995e-06,"very strong","approved binding",""
5991,"Q92887",0.0016,"strong","approved binding",""
