protein_accession,db_source,name
A5X5Y0,SWISS-PROT,"Serotonin 3e (5-HT3e) receptor"
A8MPY1,SWISS-PROT,"GABA receptor rho-3 subunit"
B1AH88,SWISS-PROT,"Peripheral-type benzodiazepine receptor"
O00141,SWISS-PROT,"Serine/threonine-protein kinase Sgk1"
O00142,SWISS-PROT,"Thymidine kinase, mitochondrial"
O00182,SWISS-PROT,"Galectin-9"
O00206,SWISS-PROT,"Toll-like receptor 4"
O00214,SWISS-PROT,"Galectin-8"
O00217,SWISS-PROT,"NADH-ubiquinone oxidoreductase 23 kDa subunit,"
O00220,SWISS-PROT,"TRAIL receptor-1"
O00221,SWISS-PROT,"NF-kappaB inhibitor epsilon"
O00222,SWISS-PROT,"Metabotropic glutamate receptor 8"
O00238,SWISS-PROT,"Bone morphogenetic protein receptor type-1B"
O00254,SWISS-PROT,"Proteinase-activated receptor 3"
O00311,SWISS-PROT,"Cell division cycle 7-related protein kinase"
O00329,SWISS-PROT,"PI3-kinase p110-delta subunit"
O00337,SWISS-PROT,"Sodium/nucleoside cotransporter 1"
O00341,SWISS-PROT,"Excitatory amino acid transporter 5"
O00408,SWISS-PROT,"Phosphodiesterase 2A"
O00418,SWISS-PROT,"Serine/threonine-protein kinase EEF2K"
O00443,SWISS-PROT,"Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit alpha"
O00444,SWISS-PROT,"Serine/threonine-protein kinase PLK4"
O00459,SWISS-PROT,"PI3-kinase p85-beta subunit"
O00462,SWISS-PROT,"Beta-mannosidase"
O00482,SWISS-PROT,"Orphan nuclear receptor LRH-1"
O00483,SWISS-PROT,"NADH-ubiquinone oxidoreductase MLRQ subunit"
O00506,SWISS-PROT,"Serine/threonine-protein kinase 25"
O00519,SWISS-PROT,"Anandamide amidohydrolase"
O00555,SWISS-PROT,"Voltage-gated P/Q-type calcium channel alpha-1A subunit"
O00571,SWISS-PROT,"ATP-dependent RNA helicase DDX3X"
O00574,SWISS-PROT,"C-X-C chemokine receptor type 6"
O00591,SWISS-PROT,"GABA receptor pi subunit"
O00746,SWISS-PROT,"Nucleoside diphosphate kinase 4"
O00748,SWISS-PROT,"Carboxylesterase 2"
O00750,SWISS-PROT,"Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide"
O00754,SWISS-PROT,"Lysosomal alpha-mannosidase"
O00757,SWISS-PROT,"Fructose-1,6-bisphosphatase 2"
O00763,SWISS-PROT,"Acetyl-CoA carboxylase 2"
O00764,SWISS-PROT,"Pyridoxal kinase"
O00767,SWISS-PROT,"Acyl-CoA desaturase"
O14519,SWISS-PROT,"Cyclin-dependent kinase 2-associated protein 1"
O14578,SWISS-PROT,"Citron Rho-interacting kinase"
O14638,SWISS-PROT,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 3"
O14640,SWISS-PROT,"Segment polarity protein dishevelled homolog DVL-1"
O14672,SWISS-PROT,"ADAM10"
O14684,SWISS-PROT,"Prostaglandin E synthase"
O14730,SWISS-PROT,"Serine/threonine-protein kinase RIO3"
O14732,SWISS-PROT,"Inositol-1(or 4)-monophosphatase 2"
O14733,SWISS-PROT,"Dual specificity mitogen-activated protein kinase kinase 7"
O14746,SWISS-PROT,"Telomerase reverse transcriptase"
O14757,SWISS-PROT,"Serine/threonine-protein kinase Chk1 "
O14763,SWISS-PROT,"Tumor necrosis factor receptor superfamily member 10B"
O14764,SWISS-PROT,"GABA receptor delta subunit"
O14777,SWISS-PROT,"Kinetochore protein NDC80 homolog"
O14782,SWISS-PROT,"Kinesin-like protein KIF3C"
O14786,SWISS-PROT,"Neuropilin-1"
O14842,SWISS-PROT,"Free fatty acid receptor 1"
O14843,SWISS-PROT,"Free fatty acid receptor 3"
O14920,SWISS-PROT,"Inhibitor of nuclear factor kappa B kinase beta subunit"
O14939,SWISS-PROT,"Phospholipase D2"
O14965,SWISS-PROT,"Serine/threonine-protein kinase Aurora-A"
O14974,SWISS-PROT,"Protein phosphatase 1 regulatory subunit 12A"
O14975,SWISS-PROT,"Fatty acid transport protein 2"
O14976,SWISS-PROT,"Serine/threonine-protein kinase GAK"
O14980,SWISS-PROT,"Exportin-1"
O14983,SWISS-PROT,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 "
O15066,SWISS-PROT,"Kinesin-like protein KIF3B"
O15075,SWISS-PROT,"Serine/threonine-protein kinase DCLK1"
O15111,SWISS-PROT,"Inhibitor of nuclear factor kappa B kinase alpha subunit"
O15120,SWISS-PROT,"1-acylglycerol-3-phosphate O-acyltransferase beta"
O15146,SWISS-PROT,"Muscle, skeletal receptor tyrosine protein kinase"
O15197,SWISS-PROT,"Ephrin type-B receptor 6"
O15217,SWISS-PROT,"Glutathione S-transferase A4"
O15218,SWISS-PROT,"Adrenomedullin receptor"
O15226,SWISS-PROT,"NF-kappa-B-repressing factor "
O15228,SWISS-PROT,"Acyl-CoA:dihydroxyacetonephosphateacyltransferase"
O15229,SWISS-PROT,"Kynurenine 3-monooxygenase"
O15245,SWISS-PROT,"Solute carrier family 22 member 1"
O15264,SWISS-PROT,"MAP kinase p38 delta"
O15294,SWISS-PROT,"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit"
O15296,SWISS-PROT,"Arachidonate 15-lipoxygenase, type II"
O15303,SWISS-PROT,"Metabotropic glutamate receptor 6"
O15379,SWISS-PROT,"Histone deacetylase 3"
O15392,SWISS-PROT,"Baculoviral IAP repeat-containing protein 5"
O15399,SWISS-PROT,"Glutamate [NMDA] receptor subunit epsilon 4"
O15438,SWISS-PROT,"Canalicular multispecific organic anion transporter 2"
O15455,SWISS-PROT,"Toll-like receptor 3"
O15460,SWISS-PROT,"Prolyl 4-hydroxylase subunit alpha-2"
O15496,SWISS-PROT,"Group X secretory phospholipase A2"
O15528,SWISS-PROT,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"
O15530,SWISS-PROT,"3-phosphoinositide dependent protein kinase-1"
O15547,SWISS-PROT,"P2X purinoceptor 6"
O15552,SWISS-PROT,"Free fatty acid receptor 2"
O15554,SWISS-PROT,"Intermediate conductance calcium-activated potassium channel protein 4"
O43172,SWISS-PROT,
O43174,SWISS-PROT,"Cytochrome P450 26A1"
O43184,SWISS-PROT,"ADAM12"
O43193,SWISS-PROT,"Motilin receptor"
O43240,SWISS-PROT,"Kallikrein 10"
O43246,SWISS-PROT,"Cationic amino acid transporter 4 "
O43280,SWISS-PROT,"Trehalase"
O43283,SWISS-PROT,
O43293,SWISS-PROT,"Death-associated protein kinase 3"
O43306,SWISS-PROT,"Adenylate cyclase type VI"
O43318,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 7"
