ID	Disease_ID	Disorder_name	gene	Gene_symbols	OMIM_ID	Chromosome	Class	OMIM_Disease_ID
1	1	17,20-lyase deficiency, isolated, 202110 (3)	CYP17A1	CYP17A1, CYP17, P450C17	609300	10q24.3	Endocrine	202110
2	1	17-alpha-hydroxylase/17,20-lyase deficiency, 202110 (3)	CYP17A1	CYP17A1, CYP17, P450C17	609300	10q24.3	Endocrine	202110
3	3	2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency, 300438 (3)	HADH2	HADH2, ERAB	300256	Xp11.2	Metabolic	300438
4	4	2-methylbutyrylglycinuria (3)	ACADSB	ACADSB	600301	10q25-q26	Metabolic	
5	5	3-beta-hydroxysteroid dehydrogenase, type II, deficiency (3)	HSD3B2	HSD3B2	201810	1p13.1	Metabolic	
6	6	3-hydroxyacyl-CoA dehydrogenase deficiency, 609609 (3)	HADHSC	HADHSC, SCHAD	601609	4q22-q26	Metabolic	609609
7	7	3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3)	MCCC1	MCCC1, MCCA	609010	3q25-q27	Metabolic	210200
8	7	3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3)	MCCC2	MCCC2, MCCB	609014	5q12-q13	Metabolic	210210
9	8	3-methylglutaconic aciduria, type I, 250950 (3)	AUH	AUH	600529	Chr.9	Metabolic	250950
10	9	3-methylglutaconicaciduria, type III, 258501 (3)	OPA3	OPA3, MGA3	606580	19q13.2-q13.3	Metabolic	258501
11	10	3-M syndrome, 273750 (3)	CUL7	CUL7	609577	6p21.1	multiple	273750
12	12	6-mercaptopurine sensitivity (3)	TPMT	TPMT	187680	6p22.3	Metabolic	
13	13	Aarskog-Scott syndrome (3)	FGD1	FGD1, FGDY, AAS	305400	Xp11.21	multiple	
14	14	Abacavir hypersensitivity, susceptibility to (3)	HLA-B	HLA-B	142830	6p21.3	Immunological	
15	15	ABCD syndrome, 600501 (3)	EDNRB	EDNRB, HSCR2, ABCDS	131244	13q22	multiple	600501
16	17	Abetalipoproteinemia, 200100 (3)	MTP	MTP	157147	4q22-q24	Metabolic	200100
17	17	Abetalipoproteinemia (3)	APOB	APOB, FLDB	107730	2p24	Metabolic	
18	18	Acampomelic campolelic dysplasia, 114290 (3)	SOX9	SOX9, CMD1, SRA1	608160	17q24.3-q25.1	Skeletal	114290
19	21	Acatalasemia (3)	CAT	CAT	115500	11p13	Hematological	
20	22	Accelerated tumor formation, susceptibility to (3)	MDM2	MDM2	164785	12q14.3-q15	Cancer	
21	24	Achalasia-addisonianism-alacrimia syndrome, 231550 (3)	AAAS	AAAS, AAA	605378	12q13	multiple	231550
22	25	Acheiropody, 200500 (3)	C7orf2	C7orf2, ACHP, LMBR1	605522	7q36	Skeletal	200500
23	26	Achondrogenesis-hypochondrogenesis, type II, 200610 (3)	COL2A1	COL2A1	120140	12q13.11-q13.2	Bone	200610
24	27	Achondrogenesis Ib, 600972 (3)	SLC26A2	SLC26A2, DTD, DTDST, D5S1708, EDM4	606718	5q32-q33.1	Bone	600972
25	28	Achondroplasia, 100800 (3)	FGFR3	FGFR3, ACH	134934	4p16.3	Skeletal	100800
26	29	Achromatopsia-2, 216900 (3)	CNGA3	CNGA3, CNG3, ACHM2	600053	2q11	Ophthamological	216900
27	29	Achromatopsia-3, 262300 (3)	CNGB3	CNGB3, ACHM3	605080	8q21-q22	Ophthamological	262300
28	29	Achromatopsia-4 (3)	GNAT2	GNAT2, ACHM4	139340	1p13	Ophthamological	
29	30	Acid-labile subunit, deficiency of (3)	IGFALS	IGFALS, ALS	601489	16p13.3	Endocrine	
30	31	Acquired long QT syndrome, susceptibility to (3)	KCNH2	KCNH2, LQT2, HERG	152427	7q35-q36	Cardiovascular	
31	32	Acrocallosal syndrome, 200990 (3)	GLI3	GLI3, PAPA, PAPB, ACLS	165240	7p13	multiple	200990
32	33	Acrocapitofemoral dysplasia, 607778 (3)	IHH	IHH, BDA1	600726	2q33-q35	Skeletal	607778
33	34	Acrodermatitis enteropathica, 201100 (3)	SLC39A4	SLC39A4, ZIP4	607059	8q24.3	Dermatological	201100
34	36	Acrokeratosis verruciformis, 101900 (3)	ATP2A2	ATP2A2, ATP2B, DAR	108740	12q23-q24.1	Dermatological	101900
35	38	Acromegaly, 102200 (3)	GNAS	GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO	139320	20q13.2	Endocrine	102200
36	38	Acromegaly, 102200 (3)	SSTR5	SSTR5	182455	16p13.3	Endocrine	102200
37	39	Acromesomelic dysplasia, Hunter-Thompson type, 201250 (3)	GDF5	GDF5, CDMP1	601146	20q11.2	Skeletal	201250
38	39	Acromesomelic dysplasia, Maroteaux type, 602875 (3)	NPR2	NPR2, ANPRB, AMDM	108961	9p21-p12	Skeletal	602875
39	44	Acyl-CoA dehydrogenase, long chain, deficiency of (3)	ACADL	ACADL, LCAD	201460	2q34-q35	Metabolic	
40	44	Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3)	ACADM	ACADM, MCAD	607008	1p31	Metabolic	201450
41	44	Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 (3)	ACADS	ACADS, SCAD	606885	12q22-qter	Metabolic	201470
42	45	Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980 (3)	EGFR	EGFR	131550	7p12.3-p12.1	Cancer	211980
43	45	Adenocarcinoma of lung, somatic, 211980 (3)	BRAF	BRAF	164757	7q34	Cancer	211980
44	45	Adenocarcinoma of lung, somatic, 211980 (3)	ERBB2	ERBB2, NGL, NEU, HER2	164870	17q21.1	Cancer	211980
45	45	Adenocarcinoma of lung, somatic, 211980 (3)	PRKN	PRKN, PARK2, PDJ	602544	6q25.2-q27	Cancer	211980
46	45	Adenocarcinoma, ovarian, somatic (3)	PRKN	PRKN, PARK2, PDJ	602544	6q25.2-q27	Cancer	
47	46	Adenoma, periampullary (3)	APC	APC, GS, FPC	175100	5q21-q22	Cancer	
48	47	Adenomas, multiple colorectal, 608456 (3)	MUTYH	MUTYH	604933	1p34.3-p32.1	Cancer	608456
